index,Name,Short Name,Gender,Type,Family,Tradition,General Personality,major_id,Major Name,floor_id,Eggie Wing,Wing Name,Room,Schedule,Cause of Death,Eggie Rank,Eggie Grade,DrakeRezCode,Drake Residence,Drake Grades
158,Copperbinder Hillwhisper,,F,Copper,metallic,arcane,prankster & hedonist,10,Eldritch Engineering,7,2S,Starlight,8,4B,,401,D,11,Tidepool Grotto,
159,Frostwhisper Silverfang,,F,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",10,Eldritch Engineering,7,2S,Starlight,9,4B,,317,C-,11,Tidepool Grotto,
160,Starwing Moonclaw,,M,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",6,Arcane Artifice and Enchantment Studies,7,2S,Starlight,10,4B,,305,C-,11,Tidepool Grotto,
161,Starheart Frostfang,,M,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",1,Prophecy,7,2S,Starlight,11,1C,,227,C,7,Verdant Hollow,
162,Thicketlord Groveheart,,F,Green,chromatic,arcane,obessive and meticulous scholars,4,Economic Dominance and Resource Management,7,2S,Starlight,12,1C,,6,A,7,Verdant Hollow,
163,Gemheart Luminar,,M,Crystal,primal,primal,build beautiful homes,4,Economic Dominance and Resource Management,7,2S,Starlight,13,1C,,247,C,7,Verdant Hollow,
164,Blazetail Sunsinger,,F,Brass,metallic,arcane,curious & short attention span,2,Dragon History,7,2S,Starlight,14,1C,,313,C-,7,Verdant Hollow,
165,Brightclaw Goldenwing,,M,Gold,metallic,divine,wise counselor and leader,3,Ancient Relics and Artifacts:,7,2S,Starlight,15,1C,,38,B+,7,Verdant Hollow,
166,Starclaw Moonmane,,F,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",3,Ancient Relics and Artifacts:,7,2S,Starlight,16,2D,,258,C,5,Ashspire Hollow,
167,Starfrost Moonbinder,,M,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",6,Arcane Artifice and Enchantment Studies,7,2S,Starlight,17,2D,,56,B+,5,Ashspire Hollow,
168,Freezefang Snowbreath,,M,White,chromatic,arcane,brutish and predatory survivalists,9,Magical Theory and Application,7,2S,Starlight,18,2D,,335,C-,5,Ashspire Hollow,
169,Cloudstalker Azurestorm,,F,Blue,chromatic,arcane,poised cosmopolitan manipulators,10,Eldritch Engineering,7,2S,Starlight,19,2D,,180,C+,5,Ashspire Hollow,
170,Galescale Skyfury,,F,Blue,chromatic,arcane,poised cosmopolitan manipulators,4,Economic Dominance and Resource Management,7,2S,Starlight,20,2D,,301,C-,5,Ashspire Hollow,
171,Monarchus Imperion,,F,Soverign,imperial,Occult,"subtle manipulators, negotiators",6,Arcane Artifice and Enchantment Studies,7,2S,Starlight,21,3E,,399,D,13,Pearl Current Row,
172,Fieryclaw Lavaheart,,F,Red,chromatic,arcane,proud and arrogant,2,Dragon History,7,2S,Starlight,22,3E,,74,B,13,Pearl Current Row,
173,Sandspirit Sunwing,,F,Brass,metallic,arcane,curious & short attention span,11,Arcanomechanics,7,2S,Starlight,23,3E,,178,C+,13,Pearl Current Row,
174,Starbreath Moonwing,,F,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",1,Prophecy,7,2S,Starlight,24,3E,,162,C+,13,Pearl Current Row,
175,Amethyxia,,M,Amethyst,jewel,arcane/divine,deception and stealth,3,Ancient Relics and Artifacts:,7,2S,Starlight,25,3E,,116,B-,13,Pearl Current Row,
176,Flamebinder Sunscale,,F,Brass,metallic,arcane,curious & short attention span,6,Arcane Artifice and Enchantment Studies,8,2W,Wraith,1,4A,,59,B+,7,Verdant Hollow,
177,Glacialheart Snowflame,,M,White,chromatic,arcane,brutish and predatory survivalists,3,Ancient Relics and Artifacts:,8,2W,Wraith,2,4A,,151,C+,7,Verdant Hollow,
178,Havenlux Serenith,,F,Paradise,planar,divine,defender and champion of righteousnous,8,Political Intrigue and Diplomacy,8,2W,Wraith,3,4A,,159,C+,7,Verdant Hollow,
179,Coastscale Oceanwing,,F,Bronze,metallic,arcane,stoic scholars and guardians of lore,5,Mineral Extraction & Refinement,8,2W,Wraith,4,4A,,200,C,7,Verdant Hollow,
180,Ebonmaw Gloomscale,,F,Black,chromatic,arcane,loaners with mean streaks & like swamps,8,Political Intrigue and Diplomacy,8,2W,Wraith,5,4A,,29,A-,7,Verdant Hollow,
181,Copperclaw Stonewhisper,,M,Copper,metallic,arcane,prankster & hedonist,6,Arcane Artifice and Enchantment Studies,8,2W,Wraith,6,1B,,220,C,7,Verdant Hollow,
182,Electroscale Stormrider,,F,Blue,chromatic,arcane,poised cosmopolitan manipulators,5,Mineral Extraction & Refinement,8,2W,Wraith,7,1B,,119,B-,7,Verdant Hollow,
183,Stormscale Bronzeheart,,F,Bronze,metallic,arcane,stoic scholars and guardians of lore,8,Political Intrigue and Diplomacy,8,2W,Wraith,8,1B,,331,C-,7,Verdant Hollow,
184,Galeclaw Lightningbreath,,M,Blue,chromatic,arcane,poised cosmopolitan manipulators,7,Planar Studies,8,2W,Wraith,9,1B,,251,C,7,Verdant Hollow,
185,Seawing Tidetail,,F,Bronze,metallic,arcane,stoic scholars and guardians of lore,4,Economic Dominance and Resource Management,8,2W,Wraith,10,1B,,43,B+,7,Verdant Hollow,
186,Goldenflare Glimmerwing,,F,Topaz,jewel,arcane,selfish and unsociable,10,Eldritch Engineering,8,2W,Wraith,11,2C,Econ 101,500,F,99,Graveyard,
187,Electricfury Stormclaw,,F,Blue,chromatic,arcane,poised cosmopolitan manipulators,7,Planar Studies,8,2W,Wraith,12,2C,Econ 101,500,F,99,Graveyard,
188,Sunscale Brassywing,,F,Brass,metallic,arcane,curious & short attention span,8,Political Intrigue and Diplomacy,8,2W,Wraith,13,2C,Econ 101,500,F,99,Graveyard,
189,Skydancer Aerion,,F,Sky,imperial,divine,religious traditionalist,8,Political Intrigue and Diplomacy,8,2W,Wraith,14,2C,Econ 101,500,F,99,Graveyard,
190,Moonshade Stygia,,M,Umbral,primal,primal,malicious hunters of the undead,11,Arcanomechanics,8,2W,Wraith,15,2C,Econ 101,500,F,99,Graveyard,
191,Crystalveil Violetwing,,F,Amethyst,jewel,arcane/divine,deception and stealth,8,Political Intrigue and Diplomacy,8,2W,Wraith,16,3D,Summer Deaths,500,F,99,Graveyard,
192,Resinwing Sunstone,,M,Amber,wild,arcane,gossip & information broker,2,Dragon History,8,2W,Wraith,17,3D,Summer Deaths,500,F,99,Graveyard,
193,Shardclaw Crystallion,,F,Crystal,primal,primal,build beautiful homes,5,Mineral Extraction & Refinement,8,2W,Wraith,18,3D,Summer Deaths,500,F,99,Graveyard,
194,Swampbinder Nightfume,,F,Black,chromatic,arcane,loaners with mean streaks & like swamps,10,Eldritch Engineering,8,2W,Wraith,19,3D,Summer Deaths,500,F,99,Graveyard,
195,Winterlord Frostbite,,M,White,chromatic,arcane,brutish and predatory survivalists,12,Elemental Binding,8,2W,Wraith,20,3D,Summer Deaths,500,F,99,Graveyard,
196,Icetail Winterheart,,M,White,chromatic,arcane,brutish and predatory survivalists,5,Mineral Extraction & Refinement,8,2W,Wraith,21,4E,,402,D,20,Aetherwell Terrace,
197,Celestwing Cloudrider,,F,Sky,imperial,divine,religious traditionalist,6,Arcane Artifice and Enchantment Studies,8,2W,Wraith,22,4E,,63,B,20,Aetherwell Terrace,
198,Flamegut Magmaron,,M,Magma,primal,primal,"brash, unpredictable, & violent",10,Eldritch Engineering,8,2W,Wraith,23,4E,,336,C-,20,Aetherwell Terrace,
199,Bronzeheart Tideheart,,F,Bronze,metallic,arcane,stoic scholars and guardians of lore,5,Mineral Extraction & Refinement,8,2W,Wraith,24,4E,,182,C+,20,Aetherwell Terrace,
200,Warmgaze Dunespirit,,M,Brass,metallic,arcane,curious & short attention span,5,Mineral Extraction & Refinement,8,2W,Wraith,25,4E,,148,C+,20,Aetherwell Terrace,
201,Pyroscale Infernobrath,,F,Red,chromatic,arcane,proud and arrogant,2,Dragon History,10,3E,Echo,1,1A,,144,C+,15,Moonwater Falls,
202,Azuremane Wavecrest,,M,Cerulean,wild,arcane,explorers and adventurers,11,Arcanomechanics,10,3E,Echo,2,1A,,319,C-,15,Moonwater Falls,
203,Ionwing Azureclaw,,F,Blue,chromatic,arcane,poised cosmopolitan manipulators,5,Mineral Extraction & Refinement,10,3E,Echo,3,1A,,393,D+,15,Moonwater Falls,
204,Lavaclaw Scorchheart,,M,Red,chromatic,arcane,proud and arrogant,6,Arcane Artifice and Enchantment Studies,10,3E,Echo,4,1A,,101,B-,15,Moonwater Falls,
205,Spiralgale Vorticia,,F,Vortex,outer,arcane,interplanetary messengers,11,Arcanomechanics,10,3E,Echo,5,1A,,362,D+,15,Moonwater Falls,
206,Brinewing Saltscale,,M,Sea,imperial,arcane,ind & fickle,6,Arcane Artifice and Enchantment Studies,10,3E,Echo,6,2B,,407,D,4,Crystalmount Rise,
207,Scorchwing Embermaw,,M,Red,chromatic,arcane,proud and arrogant,5,Mineral Extraction & Refinement,10,3E,Echo,7,2B,,203,C,4,Crystalmount Rise,
208,Chillclaw Glacierheart,,F,White,chromatic,arcane,brutish and predatory survivalists,1,Prophecy,10,3E,Echo,8,2B,,98,B-,4,Crystalmount Rise,
209,Etherfeather Altoclaw,,M,Cloud,primal,primal,wander & exlpore,1,Prophecy,10,3E,Echo,9,2B,,25,A-,4,Crystalmount Rise,
210,Moonshimmer Lunargem,,M,Moonstone,jewel,divine,wise and gentle storytellers and teachers,1,Prophecy,10,3E,Echo,10,2B,,288,C-,4,Crystalmount Rise,
211,Blazewing Skyroar,,F,Blue,chromatic,arcane,poised cosmopolitan manipulators,8,Political Intrigue and Diplomacy,10,3E,Echo,11,3C,,215,C,17,Cirrus Vale,
212,Stratuswing Cirro,,M,Cloud,primal,primal,wander & exlpore,8,Political Intrigue and Diplomacy,10,3E,Echo,12,3C,,223,C,17,Cirrus Vale,
213,Obscurix Runeclaw,,F,Occult,esoteric,Occult,eclectic seekers,3,Ancient Relics and Artifacts:,10,3E,Echo,13,3C,,79,B,17,Cirrus Vale,
214,Sylvanfang Grovetail,,F,Green,chromatic,arcane,obessive and meticulous scholars,5,Mineral Extraction & Refinement,10,3E,Echo,14,3C,,7,A,17,Cirrus Vale,
215,Darkspine Venomtail,,F,Black,chromatic,arcane,loaners with mean streaks & like swamps,2,Dragon History,10,3E,Echo,15,3C,,302,C-,17,Cirrus Vale,
216,Frostheart Icewing,,M,White,chromatic,arcane,brutish and predatory survivalists,7,Planar Studies,10,3E,Echo,16,4D,,191,C+,1,Emberfall Heights,
217,Highgale Cirrusfang,,M,Sky,imperial,divine,religious traditionalist,4,Economic Dominance and Resource Management,10,3E,Echo,17,4D,,46,B+,1,Emberfall Heights,
218,Tealwing Aquaflame,,M,Cerulean,wild,arcane,explorers and adventurers,12,Elemental Binding,10,3E,Echo,18,4D,,49,B+,1,Emberfall Heights,
219,Flameclaw Lavabreath,,M,Red,chromatic,arcane,proud and arrogant,5,Mineral Extraction & Refinement,10,3E,Echo,19,4D,,248,C,1,Emberfall Heights,
220,Iceheart Blizzardtail,,M,White,chromatic,arcane,brutish and predatory survivalists,6,Arcane Artifice and Enchantment Studies,10,3E,Echo,20,4D,,246,C,1,Emberfall Heights,
221,Azurewing Sapphirix,,M,Sapphire,jewel,Occult,Militaristic and warlike,7,Planar Studies,10,3E,Echo,21,1E,,338,C-,20,Aetherwell Terrace,
222,Voltwing Sapphirestorm,,M,Blue,chromatic,arcane,poised cosmopolitan manipulators,1,Prophecy,10,3E,Echo,22,1E,,92,B,20,Aetherwell Terrace,
223,Snowfang Winterwing,,M,White,chromatic,arcane,brutish and predatory survivalists,8,Political Intrigue and Diplomacy,10,3E,Echo,23,1E,,384,D+,20,Aetherwell Terrace,
224,Darkvoid Galaxion,,F,Void,outer,arcane,corrupted destroyers,6,Arcane Artifice and Enchantment Studies,10,3E,Echo,24,1E,,255,C,20,Aetherwell Terrace,
225,Cycloneheart Zephyrbreath,,F,Blue,chromatic,arcane,poised cosmopolitan manipulators,8,Political Intrigue and Diplomacy,10,3E,Echo,25,1E,,113,B-,20,Aetherwell Terrace,
226,Stoneman Copperheart,,M,Copper,metallic,arcane,prankster & hedonist,2,Dragon History,9,3N,Nexus,1,2A,Nov/Dec Ambush,500,F,99,Graveyard,
227,Petrifeye Treeheart,,M,Amber,wild,arcane,gossip & information broker,7,Planar Studies,9,3N,Nexus,2,2A,Nov/Dec Ambush,500,F,99,Graveyard,
228,Emberbinder Fireheart,,M,Red,chromatic,arcane,proud and arrogant,3,Ancient Relics and Artifacts:,9,3N,Nexus,3,2A,Nov/Dec Ambush,500,F,99,Graveyard,
229,Poisonbinder Sylvanwing,,M,Green,chromatic,arcane,obessive and meticulous scholars,12,Elemental Binding,9,3N,Nexus,4,2A,Nov/Dec Ambush,500,F,99,Graveyard,
230,Greenbark Mossclaw,,M,Forest,imperial,primal,guardians of nature,2,Dragon History,9,3N,Nexus,5,2A,Nov/Dec Ambush,500,F,99,Graveyard,
231,Blazebinder Infernofang,,F,Red,chromatic,arcane,proud and arrogant,11,Arcanomechanics,9,3N,Nexus,6,3B,,23,A-,4,Crystalmount Rise,
232,Wintergaze Frostscale,,F,White,chromatic,arcane,brutish and predatory survivalists,5,Mineral Extraction & Refinement,9,3N,Nexus,7,3B,,311,C-,4,Crystalmount Rise,
233,Greenmist Thornclaw,,M,Green,chromatic,arcane,obessive and meticulous scholars,1,Prophecy,9,3N,Nexus,8,3B,,371,D+,4,Crystalmount Rise,
234,Tideclaw Bronzewing,,M,Bronze,metallic,arcane,stoic scholars and guardians of lore,2,Dragon History,9,3N,Nexus,9,3B,,197,C,4,Crystalmount Rise,
235,Moonshadow Lunara,,M,Lunar,outer,arcane,nosy interplanetary people watchers,5,Mineral Extraction & Refinement,9,3N,Nexus,10,3B,,76,B,4,Crystalmount Rise,
236,Groveclaw Emeraldheart,,M,Green,chromatic,arcane,obessive and meticulous scholars,12,Elemental Binding,9,3N,Nexus,11,4C,,170,C+,14,Stormbay Landing,
237,Voidclaw Obscurus,,M,Umbral,primal,primal,malicious hunters of the undead,6,Arcane Artifice and Enchantment Studies,9,3N,Nexus,12,4C,,161,C+,14,Stormbay Landing,
238,Sylvanclaw Thicketbreath,,M,Green,chromatic,arcane,obessive and meticulous scholars,7,Planar Studies,9,3N,Nexus,13,4C,,404,D,14,Stormbay Landing,
239,Electrictail Stormfang,,M,Blue,chromatic,arcane,poised cosmopolitan manipulators,2,Dragon History,9,3N,Nexus,14,4C,,244,C,14,Stormbay Landing,
240,Leafmaw Greenclaw,,F,Green,chromatic,arcane,obessive and meticulous scholars,12,Elemental Binding,9,3N,Nexus,15,4C,,123,B-,14,Stormbay Landing,
241,Brimstonix Embermaw,,M,Infernal,planar,divine,tyranical deal brokers,10,Eldritch Engineering,9,3N,Nexus,16,1D,,323,C-,6,Stoneheart Halls,
242,Stormheart Seaflare,,F,Bronze,metallic,arcane,stoic scholars and guardians of lore,7,Planar Studies,9,3N,Nexus,17,1D,,266,C-,6,Stoneheart Halls,
243,Snowfang Chillclaw,,F,White,chromatic,arcane,brutish and predatory survivalists,9,Magical Theory and Application,9,3N,Nexus,18,1D,,263,C,6,Stoneheart Halls,
244,Marshlord Dusktalon,,M,Black,chromatic,arcane,loaners with mean streaks & like swamps,12,Elemental Binding,9,3N,Nexus,19,1D,,229,C,6,Stoneheart Halls,
245,Blazeheart Vermilix,,M,Vermillion,wild,arcane,thrill seekers who love to tell tall tales,8,Political Intrigue and Diplomacy,9,3N,Nexus,20,1D,,194,C,6,Stoneheart Halls,
246,Fetidclaw Mirestalker,Ulthar,F,Black,chromatic,arcane,loaners with mean streaks & like swamps,10,Dragon History,9,3N,Nexus,21,2E,Nov/Dec Ambush,500,F,99,Graveyard,
247,Forestwing Ivyheart,Gump,F,Green,chromatic,arcane,obessive and meticulous scholars,10,Eldritch Engineering,9,3N,Nexus,22,2E,Nov/Dec Ambush,500,F,99,Graveyard,
248,Dawnbringer Aureon,Dawn,M,Solar,outer,arcane,uber arrogant,7,Planar Studies,9,3N,Nexus,23,2E,Nov/Dec Ambush,500,F,99,Graveyard,
249,Verdantscale Ivyheart,Dan,M,Green,chromatic,arcane,obessive and meticulous scholars,2,Eldritch Engineering,9,3N,Nexus,24,2E,Nov/Dec Ambush,500,F,99,Graveyard,
250,Nimbusflare Stratos,Nimbus,F,Sky,imperial,divine,religious traditionalist,5,Mineral Extraction & Refinement,9,3N,Nexus,25,2E,Nov/Dec Ambush,500,F,99,Graveyard,
251,Nick!!!,,M,Nightmare,esoteric,Occult,artists of terror,6,Arcane Artifice and Enchantment Studies,11,3S,Sunfire,1,3A,,42,B+,14,Stormbay Landing,
252,Snowheart Winterclaw,,M,White,chromatic,arcane,brutish and predatory survivalists,1,Prophecy,11,3S,Sunfire,2,3A,,500,F,14,Stormbay Landing,
253,Mandatorix Vex,,F,Edict,planar,divine,"planner, order bringer, & corruption purger",7,Planar Studies,11,3S,Sunfire,3,3A,,500,F,14,Stormbay Landing,
254,Seacrest Foamclaw,,F,Brine,primal,primal,rigid courtsey & discipline,1,Prophecy,11,3S,Sunfire,4,3A,,500,F,14,Stormbay Landing,
255,Lightclaw Brilliance,,M,Gold,metallic,divine,wise counselor and leader,12,Elemental Binding,11,3S,Sunfire,5,3A,,500,F,14,Stormbay Landing,
256,Skywhisper Nimbus,,F,Cloud,primal,primal,wander & exlpore,6,Arcane Artifice and Enchantment Studies,11,3S,Sunfire,6,4B,Nov/Dec Ambush,500,F,99,Graveyard,
257,Wraithscale Duskclaw,,M,Black,chromatic,arcane,loaners with mean streaks & like swamps,9,Magical Theory and Application,11,3S,Sunfire,7,4B,Nov/Dec Ambush,500,F,99,Graveyard,
258,Seraphel Joywing,,M,Bliss,planar,divine,serene healers,10,Eldritch Engineering,11,3S,Sunfire,8,4B,Nov/Dec Ambush,500,F,99,Graveyard,
259,Taintwing Duskscale,,F,Black,chromatic,arcane,loaners with mean streaks & like swamps,2,Dragon History,11,3S,Sunfire,9,4B,Nov/Dec Ambush,500,F,99,Graveyard,
260,Mycelix Verdantbreath,,F,Toadstool,leshy,primal,communal gourmands,11,Arcanomechanics,11,3S,Sunfire,10,4B,Nov/Dec Ambush,500,F,99,Graveyard,
261,Deepblue Saphira,,F,Cerulean,wild,arcane,explorers and adventurers,3,Ancient Relics and Artifacts:,11,3S,Sunfire,11,1C,Fall-Soph,500,F,14,Stormbay Landing,
262,Sunflare Goldscale,,M,Gold,metallic,divine,wise counselor and leader,6,Arcane Artifice and Enchantment Studies,11,3S,Sunfire,12,1C,Fall-Soph,500,F,14,Stormbay Landing,
263,Hillheart Stonegazer,,M,Copper,metallic,arcane,prankster & hedonist,4,Economic Dominance and Resource Management,11,3S,Sunfire,13,1C,Fall-Soph,500,F,14,Stormbay Landing,
264,Murkmire Corrodejaw,,F,Black,chromatic,arcane,loaners with mean streaks & like swamps,6,Arcane Artifice and Enchantment Studies,11,3S,Sunfire,14,1C,Fall-Soph,500,F,14,Stormbay Landing,
265,Bronzeclaw Tidescale,,M,Bronze,metallic,arcane,stoic scholars and guardians of lore,10,Eldritch Engineering,11,3S,Sunfire,15,1C,Fall-Soph,500,F,14,Stormbay Landing,
266,Iceclaw Snowscale,,M,White,chromatic,arcane,brutish and predatory survivalists,1,Prophecy,11,3S,Sunfire,16,2D,,60,B+,8,Crystal Mantle,
267,Embergaze Infernoscale,,M,Red,chromatic,arcane,proud and arrogant,6,Arcane Artifice and Enchantment Studies,11,3S,Sunfire,17,2D,,78,B,8,Crystal Mantle,
268,Tenebrix Shadowmaw,,M,Nightmare,esoteric,Occult,artists of terror,12,Elemental Binding,11,3S,Sunfire,18,2D,,297,C-,8,Crystal Mantle,
269,Dismalbreath Swampfang,,M,Black,chromatic,arcane,loaners with mean streaks & like swamps,1,Prophecy,11,3S,Sunfire,19,2D,,201,C,8,Crystal Mantle,
270,Pearlymist Moonglade,,F,Moonstone,jewel,divine,wise and gentle storytellers and teachers,3,Ancient Relics and Artifacts:,11,3S,Sunfire,20,2D,,26,A-,8,Crystal Mantle,
271,Glitterheart Goldenfang,,F,Gold,metallic,divine,wise counselor and leader,6,Arcane Artifice and Enchantment Studies,11,3S,Sunfire,21,3E,,286,C-,18,Galeholm Fields,
272,Mucktail Shadowgaze,,M,Black,chromatic,arcane,loaners with mean streaks & like swamps,2,Dragon History,11,3S,Sunfire,22,3E,,318,C-,18,Galeholm Fields,
273,Luminwing Glitterclaw,,M,Gold,metallic,divine,wise counselor and leader,2,Dragon History,11,3S,Sunfire,23,3E,,156,C+,18,Galeholm Fields,
274,Nightscourge Blightwing,,F,Black,chromatic,arcane,loaners with mean streaks & like swamps,1,Prophecy,11,3S,Sunfire,24,3E,,392,D+,18,Galeholm Fields,
275,Coastfang Oceanscale,,F,Bronze,metallic,arcane,stoic scholars and guardians of lore,12,Elemental Binding,11,3S,Sunfire,25,3E,,293,C-,18,Galeholm Fields,
276,Woodlord Leafscale,,M,Green,chromatic,arcane,obessive and meticulous scholars,8,Political Intrigue and Diplomacy,12,3W,Whirlwind,1,4A,,239,C,10,Boudlerfall Enclave,
277,Epochwinder Chronos,,M,Time,outer,arcane,patient watchers and guardians of history,1,Prophecy,12,3W,Whirlwind,2,4A,,282,C-,10,Boudlerfall Enclave,
278,Silvermane Frostgaze,,F,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",12,Elemental Binding,12,3W,Whirlwind,3,4A,,108,B-,10,Boudlerfall Enclave,
279,Goldenbinder Sunwhisper,,F,Gold,metallic,divine,wise counselor and leader,11,Arcanomechanics,12,3W,Whirlwind,4,4A,,332,C-,10,Boudlerfall Enclave,
280,Copperheart Stoneman,,F,Copper,metallic,arcane,prankster & hedonist,8,Political Intrigue and Diplomacy,12,3W,Whirlwind,5,4A,,133,B-,10,Boudlerfall Enclave,
281,Moonbeam Silverwing,,M,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",7,Planar Studies,12,3W,Whirlwind,6,1B,,149,C+,4,Crystalmount Rise,
282,Azureheart Moonbeam,,M,Indigo,wild,arcane,party going revelers,9,Magical Theory and Application,12,3W,Whirlwind,7,1B,,235,C,4,Crystalmount Rise,
283,Winterfang Chillmaw,,F,White,chromatic,arcane,brutish and predatory survivalists,8,Political Intrigue and Diplomacy,12,3W,Whirlwind,8,1B,,32,A-,4,Crystalmount Rise,
284,Misttail Celestia,,M,Cloud,primal,primal,wander & exlpore,7,Planar Studies,12,3W,Whirlwind,9,1B,,39,B+,4,Crystalmount Rise,
285,Moonwing Starmane,,F,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",9,Magical Theory and Application,12,3W,Whirlwind,10,1B,,320,C-,4,Crystalmount Rise,
286,Fierywing Infernoscale,,F,Red,chromatic,arcane,proud and arrogant,12,Elemental Binding,12,3W,Whirlwind,11,2C,,192,C+,5,Ashspire Hollow,
287,Starmane Frostwing,,M,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",9,Magical Theory and Application,12,3W,Whirlwind,12,2C,Nov/Dec Ambush,500,F,5,Ashspire Hollow,
288,Hillbreath Coppermane,,F,Copper,metallic,arcane,prankster & hedonist,2,Dragon History,12,3W,Whirlwind,13,2C,,103,B-,5,Ashspire Hollow,
289,Moonmane Starwing,,M,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",12,Elemental Binding,12,3W,Whirlwind,14,2C,,115,B-,5,Ashspire Hollow,
290,Pyrewing Blazetail,,F,Red,chromatic,arcane,proud and arrogant,11,Arcanomechanics,12,3W,Whirlwind,15,2C,,88,B,5,Ashspire Hollow,
291,Frostclaw Snowstorm,,F,White,chromatic,arcane,brutish and predatory survivalists,6,Arcane Artifice and Enchantment Studies,12,3W,Whirlwind,16,3D,Summer death,500,F,99,Graveyard,
292,Sovereigntail Rex,,M,Soverign,imperial,Occult,"subtle manipulators, negotiators",11,Arcanomechanics,12,3W,Whirlwind,17,3D,Summer death,500,F,99,Graveyard,
293,Sunflare Luminclaw,,F,Gold,metallic,divine,wise counselor and leader,2,Dragon History,12,3W,Whirlwind,18,3D,Summer death,500,F,99,Graveyard,
294,Frostmane Starlight,,F,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",1,Prophecy,12,3W,Whirlwind,19,3D,Summer death,500,F,99,Graveyard,
295,Silverheart Moonfang,,M,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",5,Mineral Extraction & Refinement,12,3W,Whirlwind,20,3D,Summer death,500,F,99,Graveyard,
296,Starlight Moonfang,,M,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",11,Arcanomechanics,12,3W,Whirlwind,21,4E,,35,A-,13,Pearl Current Row,
297,Celestus Edenwing,,M,Paradise,planar,divine,defender and champion of righteousnous,6,Arcane Artifice and Enchantment Studies,12,3W,Whirlwind,22,4E,,303,C-,13,Pearl Current Row,
298,Emeraldgaze Leafheart,,M,Green,chromatic,arcane,obessive and meticulous scholars,5,Mineral Extraction & Refinement,12,3W,Whirlwind,23,4E,,143,C+,13,Pearl Current Row,
299,Frostfang Starwing,,F,Silver,metallic,divine,"chivalrous champions of justice, guardians and guides of goodly societies",3,Ancient Relics and Artifacts:,12,3W,Whirlwind,24,4E,,361,D+,13,Pearl Current Row,
300,Glimmerfang Lightbreath,,M,Gold,metallic,divine,wise counselor and leader,5,Mineral Extraction & Refinement,12,3W,Whirlwind,25,4E,,129,B-,13,Pearl Current Row,
301,Poisonshade Murkwing,,F,Black,chromatic,arcane,loaners with mean streaks & like swamps,7,Planar Studies,14,4E,Elysium,1,1A,,80,B,4,Crystalmount Rise,
302,Embergaze Warmfang,,F,Brass,metallic,arcane,curious & short attention span,3,Ancient Relics and Artifacts:,14,4E,Elysium,2,1A,,326,C-,4,Crystalmount Rise,
303,Breezeflight Cumulus,,F,Cloud,primal,primal,wander & exlpore,8,Political Intrigue and Diplomacy,14,4E,Elysium,3,1A,,12,A,4,Crystalmount Rise,
304,Tidewing Waveclaw,,M,Bronze,metallic,arcane,stoic scholars and guardians of lore,3,Ancient Relics and Artifacts:,14,4E,Elysium,4,1A,,85,B,4,Crystalmount Rise,
305,Terraclaw Hillwhisper,,F,Copper,metallic,arcane,prankster & hedonist,4,Economic Dominance and Resource Management,14,4E,Elysium,5,1A,,193,C,4,Crystalmount Rise,
306,Snowscale Frostwing,,M,White,chromatic,arcane,brutish and predatory survivalists,11,Arcanomechanics,14,4E,Elysium,6,2B,,158,C+,6,Stoneheart Halls,
307,Poisonmist Viridianscale,,F,Green,chromatic,arcane,obessive and meticulous scholars,5,Mineral Extraction & Refinement,14,4E,Elysium,7,2B,,343,C-,6,Stoneheart Halls,
308,Stonegaze Earthwing,,M,Copper,metallic,arcane,prankster & hedonist,1,Prophecy,14,4E,Elysium,8,2B,,53,B+,6,Stoneheart Halls,
309,Greenfang Ivyclaw,,F,Green,chromatic,arcane,obessive and meticulous scholars,2,Dragon History,14,4E,Elysium,9,2B,,65,B,6,Stoneheart Halls,
310,Tidewhisper Seabrume,,M,Brine,primal,primal,rigid courtsey & discipline,9,Magical Theory and Application,14,4E,Elysium,10,2B,,272,C-,6,Stoneheart Halls,
311,Abyssalroar Mareon,,F,Sea,imperial,arcane,ind & fickle,10,Eldritch Engineering,14,4E,Elysium,11,3C,,125,B-,16,Zephyr Arcades,
312,Violetflare Nightbloom,,F,Indigo,wild,arcane,party going revelers,8,Political Intrigue and Diplomacy,14,4E,Elysium,12,3C,,367,D+,16,Zephyr Arcades,
313,Darkbog Venomspine,,M,Black,chromatic,arcane,loaners with mean streaks & like swamps,8,Political Intrigue and Diplomacy,14,4E,Elysium,13,3C,,292,C-,16,Zephyr Arcades,
